"","Year","Province","Hospitals","Other Institutions","Physicians","Other Professionals","Drugs","Capital","Public Health","Administration","Other Health Spending","Total"
"86","2017 f","Prince Edward Island","307.53044999999997","102.69612499999998","127.5835","2.7254999999999994","36.359250000000003","14.948657438910914","43.171550000000011","13.5488","37.152275000000003","685.71610743891097"
"87","1975","Nova Scotia","163.25375","9.8317499999999995","53.085749999999997","3.8559999999999999","6.1987500000000004","12.710750000000001","9.0262499999999992","7.2467499999999996","1.6705000000000001","266.88024999999999"
"88","1976","Nova Scotia","189.97125","13.445499999999999","59.371499999999997","4.508","8.5367499999999996","8.7475000000000005","8.4677500000000006","7.7292500000000004","1.87575","302.65324999999996"
"89","1977","Nova Scotia","204.5675","21.110499999999998","64.655000000000001","5.2057500000000001","10.2385","9.3179999999999996","9.43","7.71225","2.3377500000000002","334.57524999999998"
"90","1978","Nova Scotia","222.27825000000001","26.343250000000001","70.465249999999997","6.5034999999999998","12.13325","11.600250000000001","11.77375","5.98325","2.9009999999999998","369.98175000000003"
"91","1979","Nova Scotia","248.96375","30.11375","77.112250000000003","8.3701675696975659","14.968132154467542","12.195499999999999","12.85075","5.1391783075559081","3.3812719682789876","413.09474999999998"
"92","1980","Nova Scotia","280.01425","34.3155","87.1995","9.2173430994083052","17.813171763072699","21.6035","15.016999999999999","5.5873944814260001","3.6930906560929957","474.46074999999996"
"93","1981","Nova Scotia","349.9905","40.31","92.009500000000003","11.138825972042522","22.477876653019543","27.071000000000002","17.526250000000001","6.78218474955312","5.1076126253848075","572.41375000000005"
"94","1982","Nova Scotia","404.16050000000001","46.057749999999999","103.97199999999999","13.057187852587234","28.717907657126865","31.72643881118881","19.50045615922539","8.6027410743650883","6.860268445506609","662.65524999999991"
"95","1983","Nova Scotia","449.16399999999999","49.845500000000001","115.19674999999999","14.454499999999999","34.580750000000002","25.611298221822718","20.977103718150961","10.474530504573377","8.3458175554529408","728.65025000000003"
"96","1984","Nova Scotia","491.24425000000002","53.878250000000001","129.10050000000001","15.7385","39.284500000000001","27.460578428253264","22.226928332803055","11.178440820871778","10.234223917657655","800.34617149958581"
"97","1985","Nova Scotia","527.36725000000001","56.161499999999997","143.184","16.74025","45.505499999999998","32.593071118991325","22.554774335353176","11.862830969267138","11.523297409583598","867.49247383319528"
"98","1986","Nova Scotia","559.08749999999998","57.354500000000002","152.40299999999999","17.678750000000001","53.111750000000001","28.674943188717219","23.77441478382584","12.509018961957967","12.404373065498977","916.99824999999998"
"99","1987","Nova Scotia","593.27874999999995","59.589750000000002","164.13124999999999","18.56175","62.261499999999998","35.599375852306977","27.292972748518981","13.078821168097784","13.566580231076259","987.36074999999983"
"100","1988","Nova Scotia","635.95124999999996","66.584500000000006","176.29349999999999","19.159500000000001","72.245249999999999","38.910670314637485","30.929669027549497","14.930478326182692","16.643281906155604","1071.6480995745253"
"101","1989","Nova Scotia","689.3175","82.436250000000001","183.6105","19.31475","82.148250000000004","51.397400820793429","34.716847510173366","15.556350882921789","20.396019652761112","1178.8938688666499"
"102","1990","Nova Scotia","741.33799999999997","93.902500000000003","195.48075","19.756","82.954499999999996","52.658686730506155","36.318858331222472","15.338658539183362","25.806996567401452","1263.5549501683136"
"103","1991","Nova Scotia","795.05371512036822","102.95699999999999","206.91553487963202","17.826250000000002","83.028000000000006","43.514363885088912","39.738861760708957","16.909195038261466","27.871780162922754","1333.8147008469823"
"104","1992","Nova Scotia","813.30607770762265","105.33450000000001","212.31934495987736","14.680249999999999","89.010813162118779","36.955677154582766","39.205548454396336","17.831839641283587","28.13032347235696","1356.7743745522382"
"105","1993","Nova Scotia","747.46348672249997","106.836718","251.69474599999975","12.566053999999999","88.534338494219497","37.77551299589603","36.778343746339004","18.736470758695933","22.547146581183902","1322.9328172988339"
"106","1994","Nova Scotia","695.50953749999996","103.39233099999998","254.49108199999995","12.611018","83.207566924504405","48.988023952095809","26.112996035272854","29.887177063890377","25.941072840261246","1280.1408053160246"
"107","1995","Nova Scotia","694.03039999999999","131.91397499999999","247.69175000000001","12.5885","83.910226750000007","42.616910569105691","25.995132975414002","25.547454245211","38.290844921875006","1302.5851944616056"
"108","1996","Nova Scotia","705.73588688186817","144.70304999999999","262.37067500000006","12.03435","83.324261750000005","17.876712328767127","29.173560800425147","22.352472724581716","40.14241457009318","1317.7133840557353"
"109","1997","Nova Scotia","867.5093617419659","155.99566639999998","288.3466951646185","10.055699999999998","86.845947037500011","24.896175808283459","43.104594605035508","19.135059585880221","56.093626267004304","1551.9828266102882"
"110","1998","Nova Scotia","901.17507439537303","174.21068389968909","311.86317482559605","10.899249999999999","99.47364373500001","24.321705426356591","34.141722051797935","21.079727300911127","79.382205081265482","1656.547186715989"
